State,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
FL,34423,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,34428,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,34429,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,34433,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,34434,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,34436,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,34442,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,34445,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,34446,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,34447,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,34448,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,34450,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,34451,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,34452,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,34453,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,34460,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,34461,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,34464,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,34465,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,34487,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,32003,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32006,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32030,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32043,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32050,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32065,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32067,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32068,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32073,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32079,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32160,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32656,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,34101,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,34102,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,34103,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,34104,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,34105,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,34106,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,34107,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,34108,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,34109,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,34110,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,34112,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,34113,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,34114,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,34116,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,34117,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,34119,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,34120,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,34137,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,34138,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,34139,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,34140,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,34142,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,34143,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,34145,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,34146,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,32024,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32025,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32038,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32055,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32056,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32061,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,34265,Florida State and County,0.06,0.07500,0.01500,0,0,2
FL,34266,Florida State and County,0.06,0.07500,0.01500,0,0,2
FL,34267,Florida State and County,0.06,0.07500,0.01500,0,0,2
FL,34268,Florida State and County,0.06,0.07500,0.01500,0,0,2
FL,34269,Florida State and County,0.06,0.07500,0.01500,0,0,2
FL,32628,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32648,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32680,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32692,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32099,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32201,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32202,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32203,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32204,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32205,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32206,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32207,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32208,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32209,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32210,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32211,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32212,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32214,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32215,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32216,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32217,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32218,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32219,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32220,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32221,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32222,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32223,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32224,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32225,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32226,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32227,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32228,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32229,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32230,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32231,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32232,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32233,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32234,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32235,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32236,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32237,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32238,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32239,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32240,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32241,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32244,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32245,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32246,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32247,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32250,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32254,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32255,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32256,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32257,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32258,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32266,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32267,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32277,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32290,Florida State and County,0.06,0.07000,0.01000,0,0,2
FL,32501,Florida State and County,0.06,0.07500,0.01500,0,0,2
FL,32502,Florida State and County,0.06,0.07500,0.01500,0,0,2
FL,32503,Florida State and County,0.06,0.07500,0.01500,0,0,2
FL,32504,Florida State and County,0.06,0.07500,0.01500,0,0,2
FL,32505,Florida State and County,0.06,0.07500,0.01500,0,0,2
FL,32506,Florida State and County,0.06,0.07500,0.01500,0,0,2
FL,32507,Florida State and County,0.06,0.07500,0.01500,0,0,2
FL,32508,Florida State and County,0.06,0.07500,0.01500,0,0,2
FL,32509,Florida State and County,0.06,0.07500,0.01500,0,0,2
FL,32511,Florida State and County,0.06,0.07500,0.01500,0,0,2
FL,32512,Florida State and County,0.06,0.07500,0.01500,0,0,2
